"","V180","V35","V8","V143","V209","V151","V249","V74_HK","V16","V79","V236","V193","V81","WEIGHT1A","V164","V150","V118","V47","V213G","I_WOMPOL","V256","V145","V43_16","V43_08","RELATIVISM","V183","V220","V254","V72","V7_CO","V43_24","V219","V43_23","V221","V198","WEIGHT2A","V69","V57","V56","V159","V105","V28","V259","WEIGHT4B","V169","V71","V208","V257C","V48","V210","V42","V253CS","WEIGHT1B","I_TRUSTCOURTS","V12","V213N","V41","V192","EQUALITY","V204","V213H","V168","I_WOMJOB","V257B","V59","V142","V43_03","I_TRUSTPOLICE","V239","V91","V129","V263","V132","V32","V43_12","V213A","V43","V108","V89","V114","V19","V245","V144","WEIGHT2B","V4","V252B","V251","V121","V68","V213L","V39","V21","V133","V97","V202","V33","WEIGHTB","I_HOMOLIB","V157","V194","I_AUTHORITY","I_NATIONALISM","DEFIANCE","I_DEVOUT","COW","V116"
"1",3,2,1,3,1,3,1,-4,1,1,1929,1,6,1,1,2,9,9,-4,0.330000013113022,330,3,-4,-4,1,1,1,2,4,-4,-4,1,-4,9,9,1,4,1,4,9,2,0,1,1,4,2,2,-4,2,2,1,-1,1,0.330000013113022,1,-4,2,9,0.553332984447479,7,-4,2,1,-4,2,4,-4,1,11,8,4,1,4,0,-4,3,1,4,1,9,1,-3,3,1,1,3,2,10,8,-4,1,2,2,3,3,0,1,0.222222000360489,8,4,0,0,0.109999999403954,0.330000013113022,70,9
"2",2,2,1,3,1,1,1,-4,1,1,1969,1,2,1,2,1,6,9,-4,0,780,3,-4,-4,1,2,1,2,3,-4,-4,2,-4,8,4,1,1,1,4,8,2,1,1,1,3,1,6,-4,2,2,2,-4,1,0,2,-4,1,8,0,5,-4,2,0,-4,2,3,-4,0.330000013113022,12,10,3,-4,2,0,-4,-4,-5,3,2,-4,1,-3,2,1,1,-4,1,8,8,-4,2,2,1,3,5,-5,1,0.444444000720978,8,3,0,0,0,0,820,7
"3",1,2,2,2,3,2,-3,-4,1,1,1974,1,6,1,2,4,5,8,2,0.660000026226044,1400,2,-4,-4,0.666666984558105,1,2,1,2,-4,-4,2,-4,-4,1,1,3,1,1,10,2,1,1.8956915140152,1,4,4,1,-4,4,2,2,124007,1,0.330000013113022,2,-4,2,10,0.60666698217392,10,2,1,0.5,-4,2,3,2,0.330000013113022,38,4,2,-4,2,1,-4,-4,-4,2,1,-1,1,2,2,1,1,-4,2,10,6,-4,2,1,4,1,-1,1,0.915000021457672,1.77964904969252e-43,5,1,0.5,0.660000026226044,0.60666698217392,0.660000026226044,20,6
"4",1,2,1,3,4,2,-3,-4,2,1,1948,2,5,1,2,4,5,5,-4,0.660000026226044,-4,3,-4,-4,1,3,1,2,3,-4,-4,2,-4,3,2,1,4,1,0,5,3,-2,0.651145040988922,1,4,1,7,-4,3,3,2,-4,1,0.660000026226044,2,-4,2,8,0.663332998752594,6,-4,5,1,-4,2,2,2,0.330000013113022,16,5,2,-4,2,-2,-4,-4,-4,3,3,6,2,4,3,1,1,-4,2,4,8,-4,2,1,3,2,8,-1,1,0.777778029441833,8,4,0.5,1,0.610000014305115,0.330000013113022,255,7
"5",1,2,-1,2,1,2,1,-4,1,3,1988,2,5,1,2,4,1,7,-4,0.330000013113022,220,2,-4,-4,1,1,3,2,2,-4,-4,3,-4,-1,2,1,4,1,2,2,2,0,2.77568745613098,1,5,3,1,-4,1,-1,2,-4,1,1,1,-4,2,8,0.77666699886322,9,-4,1,1,-4,2,3,-4,1,19,-1,3,-4,2,0,-4,-4,-4,1,3,-1,2,-3,2,1,2,-4,-1,5,5,-4,2,1,2,2,1,-2,1,0,5,5,0,0,0.109999999403954,0.330000013113022,560,4
"6",2,2,2,2,1,1,1,-4,1,1,1970,2,5,1,1,4,1,9,-4,0.330000013113022,1319,2,-4,-4,0.333332985639572,1,1,2,3,-4,-4,2,-4,9,1,1,3,1,2,6,2,0,1,1,5,2,2,-4,2,2,2,-4,1,0.330000013113022,1,-4,2,9,0.663332998752594,8,-4,1,1,704006,3,3,-4,0,18,8,2,-4,1,0,-4,-4,2,1,1,10,2,1,2,1,1,-4,4,2,5,-4,2,1,2,2,1,0,1,0,10,2,0.5,0,0.27666699886322,0.330000013113022,816,3
"7",-4,2,1,4,1,3,-4,-4,1,1,1966,-4,2,1,-4,2,10,7,-4,0.330000013113022,1220,4,-4,-4,1,-4,-4,1,1,-4,-4,-4,-4,-4,7,1,1,-4,3,5,-4,1,1.55299544334412,1,-4,3,1,-4,3,-4,2,643039,1,1,1,-4,2,1,0.663332998752594,9,-4,-4,1,-4,3,2,-4,0.660000026226044,18,-4,-1,-4,4,0,-4,-4,-4,-4,2,-4,2,8,4,1,1,-4,-4,8,6,-4,2,2,1,3,4,-4,1,0.333332985639572,7,-4,1,0,0.443332999944687,0.330000013113022,365,10
"8",1,2,4,3,2,1,2,-4,1,1,1954,1,1,1,3,3,10,3,-4,0.330000013113022,220,3,-4,-4,0,1,3,3,3,-4,-4,2,-4,7,1,1,1,1,3,10,3,1,0.997173368930817,1,1,1,1,-4,2,3,2,-4,1,0,1,-4,2,10,0.330000013113022,8,-4,3,0,-4,3,3,-4,0,-1,8,3,-4,2,1,-4,-4,-4,1,1,6,1,-3,3,1,1,-4,-1,7,1,-4,2,1,-1,3,1,-2,1,0,10,2,0,0.330000013113022,0.219999998807907,0.330000013113022,560,1
"9",-1,2,1,2,2,2,1,-4,1,1,1973,1,2,1,3,2,3,6,-4,0.330000013113022,651,2,-4,1,0.333332985639572,-1,-4,3,4,-4,-4,-4,-4,-4,2,1,1,1,1,9,2,0,1,1,-4,3,1,364000,1,1,-4,-4,1,0,1,1,1,10,0.219999998807907,6,-4,-4,0,364009,2,3,-4,0,22,-4,-4,-4,2,0,-4,-4,-4,1,2,-4,1,5,3,1,1,-4,2,5,6,-4,1,2,2,-4,1,-4,1,0,7,3,0,0.330000013113022,0.109999999403954,0,630,3
"10",2,1,1,3,1,1,1,-4,1,1,1960,1,5,1,2,4,6,7,-4,0.660000026226044,1400,2,-4,-4,0,3,1,1,2,-4,-4,2,-4,6,1,1,3,1,4,7,2,0,0.760599970817566,1,5,4,1,-4,2,3,1,246034,1,0,1,-4,2,7,0.773333013057709,6,-4,1,1,-4,1,3,-4,0,18,6,2,-4,2,0,-4,-4,-4,4,2,5,2,7,3,1,1,-4,2,5,7,-4,1,1,2,2,3,0,1,0.222222000360489,10,4,0.5,0,0.386667013168335,0.660000026226044,375,5
"11",1,2,2,2,2,2,1,-4,1,1,1971,1,5,1,2,4,10,8,-4,0.330000013113022,1400,2,-4,-4,0,1,1,1,2,-4,-4,2,-4,6,1,1,1,1,2,10,3,0,1.21277105808258,1,1,1,1,-4,1,2,2,3,1,0.660000026226044,2,-4,2,6,0.77666699886322,10,-4,4,1,-4,3,4,-4,0.330000013113022,23,7,2,-4,2,0,-4,-4,-4,1,3,4,1,10,2,1,1,-4,1,8,6,-4,2,2,3,3,3,0,1,0.222222000360489,9,4,0,0.330000013113022,0.330000013113022,0.660000026226044,290,10
"12",1,1,2,2,1,1,-3,-4,2,1,1944,1,4,0.660000026226044,1,2,1,-1,-4,0.330000013113022,644,2,-4,-4,0.333332985639572,-1,1,3,-2,-4,-4,2,-4,10,1,0.660000026226044,-1,1,6,8,2,0,1,0.660000026226044,5,-2,1,-4,1,2,1,-4,1,0.330000013113022,2,-4,2,10,0.663332998752594,10,-4,1,1,-4,2,2,-4,0.330000013113022,19,10,2,-4,2,0,-4,-4,-1,3,2,10,1,1,2,1,1,-4,-1,9,5,-4,1,1,3,3,1,-1,0.915000021457672,0,10,1,1.77964904969252e-43,0,0.246219992637634,0.330000013113022,850,8
"13",1,2,1,3,2,1,-3,-4,1,1,1925,1,4,1,3,4,5,5,-4,0.660000026226044,1400,2,-4,-4,1,1,1,1,2,-4,-4,1,-4,5,5,1,1,1,0,9,4,0,1.65618705749512,1,3,3,1,-4,1,2,2,-4,1,1,1,-4,2,9,0.496666997671127,6,-4,1,0.5,-4,3,3,-4,1,22,8,2,-4,2,0,-4,-4,-4,2,3,6,2,8,2,1,1,-4,2,8,3,-4,2,2,3,1,6,-4,1,0.555555999279022,10,4,0,0.330000013113022,0.219999998807907,0.330000013113022,369,9
"14",2,1,2,4,1,-4,-3,-4,1,1,1978,1,2,1,-4,-4,2,8,-4,0.330000013113022,220,2,-4,-4,1,1,1,1,4,-4,-4,2,-4,-4,3,1,1,-1,2,7,2,0,1,1,4,3,3,-4,2,2,1,-4,1,0,2,-4,2,10,0.663332998752594,8,-4,1,1,-4,2,4,-4,0,17,8,3,-4,-4,0,-4,-4,-4,1,3,4,2,2,2,1,2,-4,3,9,3,-4,1,2,2,3,3,-4,1,0.222222000360489,8,1,0,0,0.109999999403954,0.330000013113022,517,3
"15",1,2,4,3,2,2,1,-4,1,1,1942,2,5,1,2,4,6,-1,-4,0.660000026226044,-4,3,-4,-4,0.666666984558105,3,1,1,1,-4,-4,2,-4,8,3,1,4,-1,1,5,-2,0,1,1,5,4,3,-4,3,2,2,5,1,0.660000026226044,1,-4,2,4,0.72000002861023,6,-4,2,0.5,-4,3,3,-4,0.660000026226044,29,7,2,-4,3,0,-4,-4,2,4,5,5,2,3,3,1,1,-4,1,7,8,-4,2,2,4,1,5,1,1,0.444444000720978,9,5,0.5,0.330000013113022,0.496666997671127,0.660000026226044,385,7
"16",3,1,1,3,2,1,-3,-4,1,1,1928,2,5,1,1,4,5,1,-4,0.330000013113022,-4,3,-4,-4,0.333332985639572,3,1,2,1,-4,-4,1,-4,3,1,1,1,1,4,10,-1,2,0.495036363601685,1,5,3,1,-4,4,1,1,-4,1,0.330000013113022,2,-4,2,4,0.219999998807907,10,-4,4,0,-4,2,2,1,0.660000026226044,14,-3,3,-4,3,0,-4,-4,-4,2,2,5,2,5,-1,1,1,-4,2,6,7,-4,1,1,2,-1,1,-5,1,0,5,4,0,0.330000013113022,0.330000013113022,0.660000026226044,255,1
"17",1,2,2,2,2,2,2,-4,1,1,1964,1,4,0.660000026226044,3,2,7,8,-4,0.330000013113022,158002,2,-4,-4,0,1,1,2,3,-4,-4,2,-4,5,2,1,1,2,2,10,2,0,1.3549131155014,1,4,1,1,-4,2,-4,2,-4,1,0.330000013113022,2,-4,2,7,0.496666997671127,8,-4,5,0.5,-4,2,2,-4,0.330000013113022,15,8,2,-4,2,0,-4,-4,-4,4,2,5,2,7,2,1,1,-4,2,8,5,-4,2,1,2,3,-1,0,0.915000021457672,1.77964904969252e-43,9,3,1.77964904969252e-43,0.330000013113022,0.373270004987717,0.330000013113022,713,3
